name,description
SunShield Hiking Shirt,"A lightweight, long-sleeve shirt with
UPF 50+ sun protection. Made from moisture-wicking polyester blend. Features
vented back panel and roll-up sleeves secured with button tabs. Available in men's
and women's cuts. Great for high-altitude hikes and sunny trail days."
TrailGuard Polo,"Short-sleeve polo with built-in UPF 30 sun protection. Crafted from
recycled polyester with a smooth, quick-dry finish. Ideal for casual hikes and
outdoor activities. Comes in a variety of earth-tone colors."
ArcticShell Waterproof Jacket,"A 3-layer Gore-Tex waterproof jacket rated to withstand 20,000 mm
hydrostatic head. Fully seam-sealed, with a helmet-compatible hood and pit-zip vents.
Ideal for wet mountain conditions and multi-day backpacking in rain-heavy
environments."
StormRidge Rain Jacket,"A packable, 2.5-layer waterproof-breathable rain
jacket for everyday wet weather. Taped critical seams, adjustable hood, and two
hand pockets with storm flap. Packs into its own chest pocket. Great for
hiking, commuting, and travel."
AlpineBase Merino Top,"A midweight merino wool base
layer with natural odor resistance and temperature regulation. 18.5-micron wool
for next-to-skin softness. Flat-lock seams prevent chafing. Suitable for
year-round layering in cold to cool conditions."
ThermoFlex Fleece Jacket,"A mid-layer
fleece jacket with 200-weight polyester fleece. Features a full-zip front, two
zippered hand pockets, and a chin guard. Excellent insulation for cool mornings on
the trail. Pairs well with a shell jacket for colder conditions."
DownDrift Insulated Jacket,"A 700-fill-power down jacket with a water-resistant DWR coating on
the shell. Lightweight and compressible, packing into an internal chest pocket.
Ideal as a warmth layer in cold, dry conditions. Not recommended for sustained
wet environments."
PeakClimb Softshell,"A stretchy softshell jacket offering
wind and light moisture resistance. Four-way stretch fabric allows unrestricted
movement on steep terrain. Features two hand pockets and an internal media pocket.
Suited for high-output activities in variable conditions."
SummitTrek Hiking Pants,"Durable, quick-dry nylon hiking pants with UPF 40 sun protection.
Articulated knees for natural movement, zip-off lower legs to convert to shorts. Multiple
cargo and security pockets. Reinforced seat and knees for
scrambling."
TrailBreeze Shorts,"Lightweight hiking shorts with an elastic waistband and internal mesh
liner. Built-in UPF 25 sun protection. Two hand pockets and one back zip
pocket. Moisture-wicking fabric keeps you cool on warm-weather hikes."
GripMaster Hiking Boots,"Full-grain leather and nylon upper with a Gore-Tex membrane for
waterproof breathability. Vibram sole for multi-terrain traction. Steel shank for
torsional rigidity on rocky trails. Recommended for day hikes to multi-day
backpacking with moderate loads."
TrailRunner Pro Shoes,"Low-cut trail running shoes with
a breathable mesh upper and a rock plate underfoot. Aggressive outsole lugs for
traction on loose terrain. Padded heel collar and removable insole. Great for
fast-paced trail running and light hiking."
UltraLight Hiking Sandals,"Open-toe
sandals with a contoured EVA footbed and adjustable hook-and-loop straps. Rubber
outsole with multidirectional lugs for light trail use. Ideal for camp use,
river crossings, and casual hiking on easy terrain."
ThermalTrek Gloves,"Insulated
touchscreen-compatible gloves with a fleece lining and a water-resistant shell.
Reinforced palm for grip and durability. Wrist cinch strap prevents cold air from
entering. Suitable for hiking, skiing, and general cold-weather
use."
SolarShade Sun Hat,"Wide-brim hat with UPF 50+ sun protection. Lightweight, packable
design with an adjustable chin cord. Mesh crown panel for ventilation. A must-have
accessory for long days on exposed ridgelines or desert trails."
TrekPole Trekking Poles,"Collapsible aluminum trekking poles with foam grip handles and
adjustable wrist straps. Interchangeable rubber and carbide tips for use on paved and
unpaved surfaces. Folds to 40 cm for easy stowing in a pack."
HydraVest Running Vest,"Lightweight hydration vest with two 500 ml soft flasks included. Multiple
pockets for nutrition, phone, and small gear. Sternum straps and bungee cord front
pocket. Designed for trail running and fastpacking."
